first_name,last_name,pos_num,ht_wt,age,college,experience
Will,Ratelle,- #,",",,,Years
Chris,Chester,- #,",",,,Years
Dashon,Goldson,- #,",",,,Years
Darren,Waller,TE - #12,"6' 6"", 245 lbs",31,Georgia Tech,7 Years
Lawrence,Guy,DE - #93,"6' 4"", 315 lbs",33,Arizona State,13 Years
Carl,Davis,DT - #98,"6' 5"", 335 lbs",32,Iowa,9 Years
Matthew,Judon,LB - #9,"6' 3"", 270 lbs",31,Grand Valley State,9 Years
Nick,Boyle,TE - #86,"6' 4"", 261 lbs",29,Delaware,8 Years
Brent,Urban,DE - #97,"6' 7"", 309 lbs",33,Virginia,11 Years
Michael,Pierce,DT - #58,"6' 0"", 355 lbs",31,Samford,8 Years
Justin,Tucker,PK - #9,"6' 1"", 188 lbs",34,Texas,13 Years
Morgan,Cox,LS - #46,"6' 4"", 233 lbs",38,Tennessee,15 Years
Maxx,Williams,TE - #87,"6' 4"", 252 lbs",28,Minnesota,8 Years
Joe,Flacco,QB - #15,"6' 6"", 230 lbs",39,Delaware,18 Years
C.J.,Mosley,LB - #57,"6' 2"", 231 lbs",32,Alabama,10 Years
Kyle,Juszczyk,FB - #44,"6' 2"", 235 lbs",33,Harvard,12 Years
Breshad,Perriman,WR - #9,"6' 2"", 215 lbs",29,UCF,9 Years
Ryan,Jensen,C - #66,"6' 4"", 319 lbs",32,CSU Pueblo,10 Years
Chris,Moore,WR - #10,"6' 1"", 200 lbs",31,Cincinnati,9 Years
Wil,Lutz,PK - #3,"5' 11"", 184 lbs",30,Georgia State,9 Years
Za'Darius,Smith,DE - #99,"6' 4"", 270 lbs",31,Kentucky,10 Years
Josh,Johnson,QB - #17,"6' 3"", 214 lbs",38,San Diego,10 Years
Terrence,Brooks,- #,",",,,Years
Anthony,Levine,- #,",",,,Years
Daniel,Brown,- #,",",,,Years
Tavon,Young,- #,",",,,Years
Willie,Henry,- #,",",,,Years
Sam,Koch,- #,",",,,Years
Brandon,Williams,DT - #66,"6' 1"", 335 lbs",33,Missouri Southern State,10 Years
Maurice,Canady,- #,",",,,Years
Jimmy,Smith,- #,",",,,Years
Eric,Weddle,- #,",",,,Years
Timmy,Jernigan,- #,",",,,Years
Kamalei,Correa,- #,",",,,Years
Kenneth,Dixon,- #,",",,,Years
Patrick,Onwuasor,- #,",",,,Years
Keenan,Reynolds,- #,",",,,Years
